Wavelength (nm),HL1,HL2,HL3
406,0.373324245,1.196325898,0.470193148
407,0.373164445,1.177499413,0.456049025
408,0.371593118,1.161296487,0.443973601
409,0.368839055,1.144811153,0.43286565
410,0.364824623,1.129954576,0.422368765
411,0.361649394,1.118189216,0.411687791
412,0.358161688,1.105891585,0.402753413
413,0.357240439,1.094897747,0.394352615
414,0.356874049,1.084437013,0.386915058
415,0.353803635,1.074284077,0.378828168
416,0.351959646,1.066266894,0.372534692
417,0.353124857,1.057570577,0.366858184
418,0.352842182,1.050077558,0.360612512
419,0.352227956,1.043020129,0.35552001
420,0.350761861,1.036892891,0.350010365
421,0.351245582,1.030905724,0.345310152
422,0.351712078,1.025182247,0.340608567
423,0.348242402,1.020530343,0.336481243
424,0.344920695,1.016203284,0.332717896
425,0.342422783,1.011421442,0.328290939
426,0.340237796,1.007344127,0.323902667
427,0.338126183,1.003183365,0.321516842
428,0.336276442,1.000442982,0.3175686
429,0.334862977,0.997107565,0.314657867
430,0.333009213,0.993894696,0.310516298
431,0.335106552,0.99184233,0.307636976
432,0.33707872,0.989139974,0.304140955
433,0.336785823,0.986136794,0.300704986
434,0.333841205,0.984659016,0.298447579
435,0.332776159,0.982562959,0.29557395
436,0.331769645,0.980172634,0.292029381
437,0.331258357,0.978297293,0.289719373
438,0.328996182,0.976728082,0.286076397
439,0.329171419,0.975931704,0.28384915
440,0.32833612,0.975543261,0.280821651
441,0.32881394,0.97407788,0.277698904
442,0.326139838,0.974590063,0.275046408
443,0.323968917,0.975072444,0.272527367
444,0.323174149,0.973200858,0.269738942
445,0.322305471,0.972437441,0.267159641
446,0.319461674,0.971880853,0.265285671
447,0.315776378,0.972701252,0.262908727
448,0.31355083,0.97162056,0.259757608
449,0.31260249,0.970715106,0.25735718
450,0.311658949,0.971185744,0.254995793
451,0.312418759,0.971242487,0.252998859
452,0.310392171,0.971087992,0.25078699
453,0.309782267,0.972658932,0.249068379
454,0.310167402,0.971353769,0.246691346
455,0.309788495,0.970749557,0.244469479
456,0.308413357,0.972084642,0.242726117
457,0.307411283,0.97168076,0.240320101
458,0.308274031,0.972183764,0.238693282
459,0.308644146,0.971484602,0.23679331
460,0.309466571,0.971719503,0.234805867
461,0.308785111,0.972080767,0.232608408
462,0.307031632,0.97123766,0.231244952
463,0.305368543,0.971650541,0.22964859
464,0.304471672,0.97119987,0.22777997
465,0.304284483,0.969655931,0.226153344
466,0.304637373,0.969964922,0.224571526
467,0.305225104,0.968812108,0.223044321
468,0.305194974,0.96851182,0.221410483
469,0.304757446,0.968142569,0.22048977
470,0.303755879,0.967130423,0.218462065
471,0.305474371,0.966867089,0.217616916
472,0.306578457,0.966686726,0.216035515
473,0.306929112,0.965512157,0.214525133
474,0.306735009,0.965113878,0.212461337
475,0.306331098,0.964257181,0.211995438
