La HYDROXY COMPLEX,,,,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3,HL1,HL2,HL3
370,0.71598357,1.485497832,1.941588759,0.079231672,0.613136649,0.213564202,1.30580616,1.539677262,3.109000921,0.505551636,0.569963634,0.096926473
369,0.728527844,1.486272216,1.965703368,0.081598848,0.622214496,0.216135353,1.321244359,1.564791918,3.106882334,0.505214691,0.573417187,0.097344264
368,0.746285141,1.509607315,1.97565937,0.090764202,0.64044404,0.220930487,1.349493146,1.611137509,2.989216805,0.504795313,0.576005757,0.098267287
367,0.752236426,1.498818159,1.985596418,0.086525045,0.642630279,0.215404838,1.35064435,1.625664115,2.999123573,0.503089249,0.57936722,0.098456144
366,0.764305532,1.504473805,2.001366615,0.088565551,0.652406216,0.215734571,1.366223335,1.659895301,3.006438732,0.501687288,0.581778944,0.098895721
365,0.776513517,1.504287124,2.021864891,0.091115654,0.663023531,0.217240587,1.385513186,1.698659301,3.008793354,0.500043452,0.583871663,0.099031523
364,0.790418863,1.50417161,2.028368711,0.096209772,0.668422282,0.218070373,1.401527166,1.726232767,2.971191883,0.49834156,0.586319506,0.09877222
363,0.806274891,1.506949902,2.050666094,0.099416286,0.681630731,0.21817787,1.416514397,1.769168496,3.001992226,0.496385366,0.588770211,0.099158704
362,0.817305803,1.503190279,2.050228834,0.101281554,0.686939418,0.219185054,1.429962873,1.802081704,2.989789963,0.493036747,0.590857148,0.099651426
361,0.83372426,1.498404622,2.06337738,0.107172169,0.696167529,0.219733149,1.45059967,1.850687146,2.960239887,0.491014779,0.592836559,0.099815212
360,0.849555314,1.495236993,2.079660892,0.109122165,0.700957894,0.21861577,1.462026834,1.891612768,2.967357397,0.487657666,0.595228672,0.10022033
359,0.866722167,1.496912956,2.074125767,0.112688333,0.709385753,0.221185088,1.484887242,1.92180109,2.987697124,0.484555423,0.597300232,0.100336783
358,0.879995704,1.483267784,2.106124878,0.116920807,0.718720198,0.221011058,1.494653583,1.974452138,2.95707345,0.481817156,0.599610925,0.100591213
357,0.894626081,1.483496308,2.089565039,0.121497251,0.730018139,0.222705931,1.51940155,2.026255608,3.020604134,0.478909075,0.600944936,0.100851603
356,0.913384259,1.482296109,2.120033264,0.12217585,0.731301248,0.22338748,1.530730009,2.058641672,2.9620924,0.476251483,0.602249801,0.101027273
355,0.928235292,1.492048264,2.117632151,0.132050932,0.738137424,0.225248709,1.557831764,2.118557453,2.980763435,0.473236889,0.603742421,0.101745531
354,0.949197292,1.504763842,2.143738985,0.132190943,0.747431696,0.225302368,1.571061492,2.160557508,3.000593901,0.470087796,0.604480982,0.101839252
353,0.975526631,1.497500181,2.162838697,0.140001312,0.754440129,0.225745171,1.592117786,2.206562519,2.944398642,0.467116714,0.605804563,0.101200827
