La HYDROXY COMPLEX,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3
471,0.357156128,0.985627294,0.202990294,0.02155285,0.196611524,0.173399791,0.182643265,0.214490265,0.956062555
470,0.356810331,0.986532331,0.205084384,0.02175371,0.19636707,0.173173174,0.183778837,0.216364831,0.963419795
469,0.35765034,0.988891542,0.207552359,0.021666899,0.197151482,0.173640266,0.185339496,0.219303161,0.970483482
468,0.358111203,0.990359843,0.209687322,0.022092458,0.197034076,0.174343661,0.18659471,0.221016169,0.977234364
467,0.35919717,0.993231654,0.212998167,0.022195861,0.198193133,0.174443409,0.187884316,0.223104417,0.98449713
466,0.359898806,0.995275974,0.21503368,0.022214796,0.198243871,0.174627334,0.189809427,0.224791601,0.992282033
465,0.360126823,0.997512639,0.218410909,0.023022993,0.199568227,0.175069302,0.192736328,0.227047861,1.001351357
464,0.360250086,1.000343442,0.221700907,0.023007764,0.19986175,0.175608441,0.193262801,0.229490936,1.009885192
463,0.362012595,1.002710581,0.2249576,0.023192802,0.200131416,0.175333768,0.19574073,0.232351452,1.019997478
462,0.363066346,1.005355358,0.227946848,0.023248374,0.201037556,0.176011115,0.19731006,0.234618232,1.029258728
461,0.363058239,1.008908391,0.231434658,0.023538088,0.201826677,0.177199438,0.199669763,0.23741287,1.039651155
460,0.365091592,1.010080457,0.235167474,0.024157336,0.202872217,0.176936284,0.2023305,0.240639746,1.049581409
459,0.365990281,1.014324307,0.239101917,0.023405323,0.203797296,0.177179709,0.204268456,0.243290737,1.06110096
458,0.365841776,1.016620636,0.242835134,0.023887558,0.20465377,0.177561387,0.206504419,0.245983005,1.072090268
457,0.366878986,1.01971817,0.247713059,0.024077762,0.205256969,0.177603155,0.209610596,0.250419915,1.083093643
456,0.367578596,1.022861958,0.251812011,0.024169488,0.206002638,0.178341031,0.212677866,0.252468228,1.094044805
455,0.369028688,1.025708437,0.256854683,0.024542885,0.20696193,0.178067163,0.215426341,0.256275237,1.105927706
454,0.369799137,1.029262662,0.26143837,0.024588246,0.20822838,0.178586051,0.217638239,0.259744674,1.117561221
453,0.370088548,1.0319556,0.26781106,0.025299205,0.209566057,0.179097235,0.221267119,0.264397711,1.13111043
452,0.371878594,1.03420043,0.272378594,0.025249762,0.210050315,0.179602578,0.224287257,0.26758197,1.145627141
451,0.372847647,1.037768364,0.277665824,0.025314242,0.21136044,0.180429414,0.227299869,0.271092922,1.159309149
450,0.373311967,1.041436315,0.28423065,0.025900418,0.212197959,0.180792853,0.230905041,0.275340438,1.174214363
449,0.374577165,1.045424938,0.29012087,0.026571451,0.214061156,0.181254298,0.234626681,0.280479819,1.189917445
448,0.375787735,1.047833204,0.296046853,0.025795937,0.2150006,0.180781424,0.237944394,0.284357578,1.205754876
447,0.377756625,1.051720262,0.302338213,0.026867632,0.216275498,0.181624204,0.242657632,0.289050013,1.221712589
446,0.37927559,1.055094719,0.309821755,0.026138157,0.217243537,0.182056591,0.246388197,0.29353261,1.237772942
445,0.380144894,1.058225513,0.316567093,0.026305808,0.2186905,0.182509422,0.250299484,0.298762679,1.25594759
444,0.380879909,1.06183219,0.323402613,0.026675625,0.219859988,0.182786897,0.254933536,0.303031504,1.274634838
443,0.382722378,1.065989733,0.331689715,0.027378926,0.221738681,0.183466807,0.25914523,0.30836001,1.293251038
442,0.383752614,1.068720102,0.33924678,0.027437022,0.222896263,0.183652818,0.264540196,0.313081086,1.314128995
441,0.38554576,1.072725296,0.347546071,0.027461343,0.225843042,0.184131995,0.268608064,0.319957376,1.334557414
440,0.387290508,1.076274037,0.356331259,0.028159484,0.226308972,0.184476525,0.274002403,0.324756175,1.355131626
439,0.388875812,1.079817653,0.36520806,0.028339881,0.22733137,0.184959471,0.279011101,0.331511498,1.37760067
